Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
N-acetyl-L-glutamic acid	-0.0406	0.0464	0.0501	-0.0052	0.0119	-0.0032	-0.0054	-0.0122	-0.0176	-0.0093	0.0113	0.0033	0.0637	0.1221	-0.0088	-0.13	0.0283	0.079	0.0107
L-pyroglutamic acid	-0.0464	-0.0099	-0.0059	0.4227	0.2362	-1.00E-04	-0.0251	0.0161	-0.0377	-0.0255	0.1132	-0.0051	0.05	0.0026	0.3118	-0.1195	-0.0101	-0.0065	0.0059
b-cyclodextrin	-0.0512	-0.014	-0.011	-0.0104	-0.0035	-0.0004	-0.0083	0.01	-0.0134	-0.0923	-0.0171	-0.0099	0.0166	0.0378	-0.0016	-0.0528	-0.0191	-0.0076	0.0077
amygdalin	-0.0394	-0.0228	-0.0091	-0.0116	0.0014	-0.0048	-0.0123	0.001	-0.0026	-0.0132	0.0143	-0.0052	0.0352	0.1203	0.0003	-0.0887	-0.0062	-0.0083	0.0078
D-melezitose	-0.0571	-0.0098	-0.0084	-0.0127	-0.0055	0.0009	-0.0083	-0.0041	-0.0014	-0.0117	-1.39E-17	-0.0107	0.0461	0.1247	-0.0065	-0.0913	0.0079	-0.0002	0.0065
L-sorbose	-0.0208	-0.0219	-0.029	-0.0188	-0.004	-0.0018	-0.0071	-0.0095	-0.0091	-0.011	-0.0094	-0.0086	0.0155	0.1015	-0.0127	-0.1015	-0.0098	-0.0056	0.0093
citramalic acid	-0.0324	-0.0364	-0.0327	-0.0391	-0.0147	-0.0121	-0.0187	-0.0318	-0.0246	-0.0247	-0.0001	-0.0102	0.0336	0.1001	-0.0279	0.0099	-0.0296	-0.0255	-0.0028
oxalic acid	-0.02	-0.0157	-0.0143	-0.0271	-0.0197	-0.0039	-0.0313	-0.0402	-0.0234	-0.0495	0	-0.0075	0.0547	0.1167	-0.0404	-0.11	-0.0313	-0.0182	-0.0004
L-arginine	-0.0502	0.5018	-0.0265	0.197	0.2883	0.0034	0.4026	0.3035	0.4208	0.7183	0.1871	0.2216	0.4216	0.6918	0.4145	0.2084	0.3007	0.0357	0.0208
L-valine	-0.0542	0.0623	0.0039	-0.0151	0.054	-0.0085	-0.0189	0.1379	0.0544	0.0089	0.0079	-0.0054	0.1032	0.2178	-0.0305	0.0406	0.0636	0.0246	0.0074
y-cyclodextrin	-0.0546	-0.0361	-0.0106	-0.0081	0.0044	-0.0018	-0.0201	-0.0295	-0.0057	-0.0149	-0.0042	0.0019	0.0145	-0.0177	-0.01	-0.0798	-0.0116	-0.0126	0.0004
D-arabinose	-0.0474	-0.0534	-0.0255	0.1891	0.0092	-0.0149	-0.0227	-0.0076	-0.0132	-0.0141	0.0043	-0.0257	0.0432	0.117	-0.0247	-0.0905	-0.0087	-0.0063	0.0022
maltitol	-0.042	-0.0599	-0.0068	-0.0149	0.0003	0.0037	-0.0092	-0.4333	0.0083	-0.0035	-0.0092	-0.0009	0.0527	0.1137	-0.0041	-0.1095	0.0052	0.001	0.0075
stachyose	-0.0303	-0.0018	-0.0267	-0.0131	-0.002	-0.0006	-0.008	0.0047	-0.0074	-0.005	-0.0135	-0.0092	-0.0024	0.111	0.0064	-0.1053	0.0011	0.0077	0.006
D-glucosamine	-0.0606	-0.0033	-0.0398	-0.0291	0.0003	-0.0078	-0.0148	-0.0081	-0.0029	-0.0203	-1.00E-04	-0.0111	0.0668	0.1027	-0.0327	-0.0799	-0.0098	0.0051	-0.0048
oxalomalic acid	-0.0502	-0.0076	-0.0404	-0.0421	-0.0093	-0.0236	-0.0199	-0.0277	-0.007	-0.0498	-0.0003	-0.0086	0.0324	0.1076	-0.0272	-0.0981	-0.04	-0.0236	0.0087
glycine	-0.0697	0.002	-0.0615	-0.0534	-0.0173	0.2407	-0.0216	0.0892	0.2772	-0.0701	-0.0137	0.0576	0.3454	0.1146	-0.0487	-0.0826	-0.0108	0.0046	-0.004
"D,L-carnitine"	-0.0606	0.0024	0.0027	-0.0161	-0.0054	-0.0017	-0.0035	-0.2489	-0.0165	-0.0141	-0.0103	-0.0109	0.0999	0.1025	-0.0193	-0.1172	-0.0017	-0.0013	0.0083
dextrin	-0.04	-0.0153	-0.0138	-0.014	-0.0007	0.0038	-0.0062	-0.5419	0.0145	-0.0172	0.0246	-0.0069	-0.0174	-0.0172	-0.0029	-0.0792	0.0012	-0.0013	0.004
D-arabitol	-0.0767	-0.033	-0.0245	-0.0109	-0.0009	0.0036	-0.0205	-0.3207	-0.0087	0.0049	-0.0001	-0.0078	0.0072	0.1415	-0.0062	-0.1035	-0.0077	0.0111	0.0075
a-methyl-D-glucoside	-0.0298	-0.0154	-0.009	-0.0084	-0.0043	-0.001	-0.0084	-0.0002	-0.0009	-0.0047	-0.0134	-0.001	0.0317	0.1218	0.0012	-0.1077	-0.0059	0.006	0.0073
D-tagatose	-0.0242	-0.0271	-0.0311	-0.0403	-0.0036	-0.0089	-0.0166	-0.0015	-0.0179	-0.005	0	-0.0156	0.0501	0.1538	-0.0238	-0.1096	-0.0136	-0.0034	-0.0077
2-hydroxy benzoic acid	-0.0434	-0.0232	-0.0359	-0.0401	-0.0229	-0.0326	-0.0557	-0.0334	-0.0409	-0.0463	-0.0042	-0.0141	0.0609	0.1361	-0.0178	-0.1032	-0.0168	-0.0208	0.0046
quinic acid	-0.046	-0.0041	-0.0129	-0.008	-0.007	0.0017	-0.0151	-0.108	-0.0336	-0.016	0.0039	-0.0097	0.0575	0.1317	-0.0194	-0.1165	-0.0124	-0.0013	0.0059
L-histidine	-0.0411	-0.0058	0.2969	0.3757	0.2015	-0.0091	-0.0131	0.4444	0.363	0.5298	0.0684	0.0456	0.3412	0.6655	0.2221	0.1451	0.3552	0.258	0.0494
sec-butylamine	-0.0374	-0.0422	-0.0011	-0.0251	-0.0022	-0.0027	-0.0109	-0.0123	-0.0193	-0.0417	-0.0096	-0.0067	0.1548	-0.001	-0.0275	-0.1164	-0.0041	0.0008	0.0119
gelatin	-0.019	-0.0671	-0.0799	0.0034	-0.013	0.0003	-0.0229	0.0515	0.0152	-0.0111	-0.0031	0.0002	0.0474	-0.0273	-0.0219	-0.0414	-0.048	-0.0349	-0.0096
L-arabitol	-0.0301	-0.042	-0.0154	-0.0024	0.0012	0.0047	-0.0125	0.0101	0.0157	0.0041	-0.0066	-0.0038	0.0095	0.1534	-0.0026	-0.0996	0.0123	-0.0027	0.0068
b-methyl-D-galactoside	-0.049	-0.0064	-0.0219	-0.009	-0.0068	0.0037	-0.0197	-0.0019	-0.0192	-0.0046	-0.3234	-0.0032	0.0372	0.1005	-0.0058	-0.0922	-0.0018	0.0052	0.0062
turanose	-0.0313	-0.0422	-0.0146	-0.0103	-0.0165	0.003	-0.003	0.0097	-0.0019	0.106	-0.0069	-0.007	-0.6294	0.163	-0.0052	-0.0981	-0.0094	0.0087	0.0054
4-hydroxy benzoic acid	0.0292	-0.0055	-0.0308	0.2307	-0.011	-0.0116	-0.0109	-0.0164	-0.0091	0.3466	0.0905	-0.0115	0.0599	0.1233	0.3456	0.1255	0.0038	-0.002	0.0089
"D-ribono-1,4-lactone"	-0.0241	0.0087	-0.0412	-0.0115	0.0005	0.0094	-0.0075	-0.0002	-0.0309	0.0742	-0.0051	0.0045	0.0523	0.1436	-0.0126	-0.1271	-0.0238	0.0113	0.0032
L-homoserine	-0.0273	-0.0471	-0.0314	-0.0395	-0.0188	-0.0115	-0.1414	-0.0207	-0.0711	-0.0533	-0.0139	-0.0168	0.0187	0.0958	-0.0478	-0.1407	-0.0204	-0.0228	-0.0064
"D,L-octopamine"	-0.0397	0.0037	-0.0101	-0.0034	-0.0042	-0.0036	-0.013	-1.1021	-0.0405	-0.0088	-0.0099	0.0267	0.0676	0.1178	-0.0212	-0.1334	-0.0044	-0.0014	0.0108
glycogen	-0.049	-0.0538	-0.0212	0.0052	0.0012	-0.4114	0.0131	0.0139	0.014	-0.0055	-0.003	-0.0054	0.0106	0.0567	-0.3796	-0.0852	-0.0045	0.0069	0.0125
arbutin	-0.0466	0.0039	-0.0113	-0.0009	0.0051	-0.007	-0.0079	0.0048	0.0039	0.0076	-0.0101	0.0009	0.0074	0.1435	0.0145	-0.0705	-0.0015	0.0023	0.0048
3-methyl glucose	-0.0386	0.0364	-0.0431	-0.0342	0.0098	-0.0009	-0.0144	-0.0149	-0.0098	0.0527	-0.0044	-0.0096	0.0034	0.1284	-0.0225	-0.0899	-0.0239	-0.0064	0.0034
xylitol	-0.0268	-0.0509	-0.0169	-0.0164	-0.0044	0.0065	-0.0061	-0.0029	-0.0038	0.0953	-0.0095	0.0077	0.0194	0.1407	-0.0254	-0.1156	2.78E-17	0.0007	0.0053
b-hydroxy butyric acid	0.0468	0.4613	0.3867	0.2875	0.3588	0.3362	0.4134	0.3946	0.587	0.2581	0.139	0.2199	0.4938	0.2713	0.1458	0.1994	0.2985	-0.1192	0.07
sebacic acid	-0.0465	0.0078	0.3453	-0.014	0.0115	0.3495	0.4207	0.3944	0.4672	0.3663	-0.0078	0.0219	0.7016	0.2015	-0.023	-0.0925	-0.0447	0.0284	0.0154
hydroxy-L-proline	0.0241	0.0153	-0.0284	0.0025	-0.0129	0.0269	0.0082	0.3211	0.5635	-0.0195	0.0856	0.0076	0.3361	0.1583	-0.0317	0.1534	0.1794	0.0219	0.0272
putrescine	-0.0082	0.5182	-0.031	0.4257	0.2002	-0.0684	-0.0391	-0.0691	-0.0742	0.5008	0.1993	0.0837	0.0188	0.0971	0.388	-0.0911	-0.0069	0.1738	-0.0217
inulin	-0.0484	-0.0623	-0.0049	0.0132	0.027	-0.0075	-0.5906	0.0668	0.0007	0.0104	0.0327	0.0449	0.0195	0.1171	0.0141	-0.6913	-0.0017	-0.001	0.029
2-deoxy-D-ribose	-0.0149	0.0135	-0.0261	-0.0328	0.0162	-0.0256	-0.0322	-0.0175	-0.0238	-0.0116	0.0103	0.0492	0.0208	0.2023	-0.0148	-1.0626	-0.0138	-0.0043	0.01
b-methyl-D-glucuronic acid	-0.0206	-0.0024	-0.0082	-0.008	-0.0083	0.0013	-0.0115	0.0017	-0.0069	-0.0191	-0.0117	0.0128	0.1204	0.1199	-0.0097	-0.0929	-0.0117	0.0004	0.0057
N-acetyl-D-glucosaminitol	-0.0146	0.0105	-0.0194	-0.0127	-0.0056	-0.0053	-0.0147	-0.8199	0	0.1033	0.0066	0.0003	0.0196	0.1517	-0.0207	-0.0993	0.0066	0.0037	0.006
y-hydroxy butyric acid	-0.0197	-0.0356	-0.0188	-0.0364	-0.0103	-0.0011	-0.0285	-0.0298	-0.0266	0.0442	-0.0015	-0.0019	0.0342	0.1522	-0.0261	-0.1226	-0.0334	-0.0217	0.0007
sorbic acid	-0.0148	0.1397	0.1288	-0.0598	0.1062	0.1669	-0.0155	0.1382	0.191	0.0316	0.0432	-0.0061	0.0387	0.1431	-0.0148	-1.0416	0.1035	-0.0072	-0.0061
L-isoleucine	-0.0465	0.1502	0.1421	-0.0211	0.255	-0.0048	-0.0129	0.1508	0.1116	0.0414	0.0278	0.0389	0.1387	0.1912	-0.0262	0.0391	0.1026	0.0526	0.0065
dihydroxy acetone	-0.0468	-0.0427	-0.0161	-0.0658	-0.0112	-0.0347	-0.0608	-0.0377	-0.0372	-0.0569	0.0055	-0.0402	0.0706	0.063	-0.0103	-0.1382	-0.0406	-0.0314	-0.0072
laminarin	-0.0422	-0.0538	-0.0357	-0.0016	0.0092	-0.036	-0.0155	-0.0945	-0.0109	-0.0008	-0.0089	-0.0088	0.0255	0.0561	-0.0053	-0.1863	-0.0018	-0.0063	0.001
i-erythritol	-0.028	-0.0587	-0.0227	-0.0099	-0.003	0.0031	-0.0104	-0.2554	-0.0093	-0.0165	-0.0035	0.004	-0.0108	0.1415	-0.0113	-0.111	-0.0109	-0.0076	0.0055
a-methyl-D-mannoside	-0.0303	-0.0104	-0.0106	-0.0091	-0.0027	0.0027	-0.0069	0.0009	-0.0127	0.0688	-0.0005	0.012	-0.0087	0.1511	-0.0098	-0.129	-0.0122	0.0032	0.0043
y-amino butyric acid	0.0632	0.7022	0.5391	0.6718	0.461	0.0014	0.5531	0.558	0.8514	0.7935	0.1602	0.532	0.7434	0.8668	0.746	0.3384	0.5511	0.3075	0.0012
a-keto valeric acid	-0.0144	0.2999	0.1623	0.1675	0.1164	0.0158	-0.01	0.0673	0.1396	0.2006	0.0476	0.0859	0.3132	0.1098	-0.0184	-0.0983	0.1122	0.0423	0.0254
succinamic acid	0.0278	0.0377	0.0427	0.0323	0.0516	0.004	-1.39E-17	0.0079	0.003	0.0946	0.0144	0.0055	0.0673	0.1664	0.0132	-0.0687	0.0126	0.0221	0.0111
L-leucine	-0.0156	0.383	0.376	0.1337	0.3393	0.0157	0.0041	0.2681	0.2791	0.1698	0.119	0.0363	0.3383	0.3083	-0.019	-0.0171	0.141	0.094	0.0359
"2,3-butanediol"	-0.0338	0.0043	-0.0072	-0.0139	0.0064	-0.0003	0.0284	-0.0036	-0.0168	-0.0129	-0.0107	-0.0027	0.0582	0.1037	-0.0099	-0.1292	-0.0074	0.0007	0.0059
mannan	-0.0305	-0.0128	-0.0156	-0.0048	-0.0013	-0.3229	-0.7366	-0.871	-0.0153	-0.0315	0.0089	-0.0217	0.0581	-0.0162	-0.0223	-0.0579	-0.0139	-0.018	0.0102
D-fucose	-0.0363	0.0325	-0.0551	-0.0109	0.0065	0.0053	-0.0183	0.0024	-0.0108	0.0195	-0.0063	0.0024	-0.0003	0.1271	-0.0089	-0.1122	-0.0157	0.0079	0.0039
b-methyl-D-xyloside	-0.0296	-0.0258	-0.0104	-0.0139	-0.0045	0.0077	-0.1209	-0.0018	-0.0243	0.0262	-0.0032	-0.005	0.004	0.1306	-0.0176	-0.1101	-0.0013	-0.0014	0.0067
d-amino valeric acid	0.0813	0.7724	0.5104	0.8671	0.6304	-0.2329	0.6963	0.9075	0.7911	0.9538	0.1825	0.6262	0.7781	0.9018	0.7615	0.4144	0.4898	0.2899	0.0028
itaconic acid	-0.0208	-0.0563	-0.011	-0.0276	-0.0027	-0.0021	-0.018	-0.2505	-0.0343	0.0301	-0.0109	0.0059	0.0368	0.0963	-0.0289	0.097	-0.0156	-0.0178	-0.0029
D-tartaric acid	-0.03	-0.0255	-0.0224	-0.0081	0.0017	-0.0111	-0.798	-0.0226	-0.0088	-0.043	0.0177	-0.0023	0.0706	0.105	-0.0162	-0.119	-0.0206	0.0013	0.0032
L-lysine	-0.0221	0.2102	-0.0181	0.17	-0.0105	-0.0018	0.2039	0.0987	0.2762	-0.0137	-0.0048	0.1537	0.2767	0.1515	-0.032	-0.0259	0.0016	0.0116	0.1587
"2,3-butanedione"	0.0356	0.0344	0.006	0.0092	0.0318	0.0011	0.0014	-0.0061	0.0109	0.009	0.0208	0.0181	0.0897	0.0566	0.032	-0.0835	0.0555	0.0835	0.0746
pectin	-0.0041	-0.1049	-0.0737	-0.1309	-0.1332	-0.0438	0.0022	-0.9121	-0.0223	-0.1846	-0.1451	-0.1772	-0.0254	-0.0701	-0.2047	-0.2136	-0.144	-0.0363	-0.0989
3-0-b-D-galcatopyranosyl-D-arabinose	-0.0576	-0.03	-0.0126	-0.0409	-0.0024	-0.0232	-0.0494	-0.0289	-0.0204	-0.0402	0.0116	-0.0146	0.0177	-0.0264	-0.033	-0.0169	-0.0186	-0.028	-0.0068
palatinose	-0.0309	-0.0176	0.013	-0.0389	-0.0034	-0.018	-0.0255	-0.0143	-0.0238	-0.0381	-0.0011	-0.0103	0.0009	-0.0198	-0.0343	-0.0828	-0.0177	-0.0158	-0.0045
butyric acid	0.1112	0.4094	0.3195	0.3668	0.069	0.4611	0.4022	0.1675	0.4766	0.1602	0.1231	0.0779	0.4102	0.0053	0.1928	0.2044	0.2833	0.1433	0.2139
5-keto-D-gluconic acid	-0.0197	-0.0183	-0.0167	-0.037	-0.0061	-0.0044	-0.0269	-0.0228	-0.0159	0.0174	0.0107	-0.0121	0.0383	-0.0308	-0.0635	-0.096	-0.0187	-0.001	0.0014
L-tartaric acid	-0.0257	-0.0062	0.003	-0.0227	-0.0115	-0.002	-0.0315	-0.0215	-0.0206	-0.0387	0.0185	-0.0015	0.055	0.0393	-0.0371	-0.1069	-0.0061	0.0088	-0.0035
L-methionine	-0.0537	0.0183	-0.0064	0.0051	0.0043	-0.0257	-0.0115	-0.0195	-0.0119	-0.0366	-0.0043	0.0094	0.0527	0.0597	-0.0277	-0.1157	0.0237	0.0169	0.0141
3-hydroxy 2-butanone	-0.044	0.0056	0.0001	-0.0062	-0.0064	0.0063	-0.0097	-0.0026	0.0002	-0.0126	-0.008	-0.0015	0.0974	0.0188	-0.0027	-0.1013	0.0022	-0.0086	0.0021
