Substrate	lutiphocae_013	faecalis_023	pacificensis_032	fulvigenes_045	piscatorii_048	glacincola_011	urativorans_019	okhotskensis_031	cryohalolentis_009	adeliensis_001	fozii_021	luti_022	maritimus_028	aquaticus_003	aestaurii_044	arenosus_005	celer_006	cibarius_007	ciconiae_008
a-keto-butyric acid	-0.0017	0.0724	0.0443	0.0159	0.0155	0.0167	0.0135	0.008	-0.0292	-0.008	-0.0181	0.0104	0.1196	0.0547	0.0337	0.011	0.1913	0.0263	0.09
a-hydroxy butyric acid	-0.0116	0.0907	0.0487	0.0378	-0.0285	0.029	0.033	0.0334	-0.0043	0.0006	-0.0114	0.0172	0.1097	0.1262	0.0511	0.0499	0.1957	0.0303	0.0204
propionic acid	0.0681	0.2769	0.0986	0.2177	0.0913	0.1482	0.2116	0.245	0.1468	0.1428	0.0548	0.1231	0.3597	0.0197	0.2005	0.1419	0.2707	0.1028	0.1183
acetoacetic acid	-0.0302	-0.0015	-0.0423	-0.0095	-0.0827	-0.0018	-0.0064	-0.0377	-0.0475	-0.0322	-0.0037	-0.0169	-0.0021	-0.012	0.0315	-0.0528	0.1815	0.028	0.0163
glucuronamide	-0.0068	0.0409	-0.0527	-0.0322	-0.0455	-0.0129	-0.0233	-0.0499	-0.0034	-0.0238	-0.0205	-0.0125	0.0152	-0.0007	0.0168	-0.041	0.1636	0.0046	0.0013
L-proline	-0.0045	0.4319	0.406	0.447	0.4112	0.5284	0.5924	0.5903	0.6094	0.555	0.1515	0.3858	0.6068	0.6327	0.6121	0.4293	0.6327	0.1519	0.1006
D-xylose	-0.0057	0.0239	-0.0442	-0.0499	-0.0549	-0.0195	-0.0256	-0.0384	-0.0617	-0.0204	0.002	-0.0072	0.037	0.0061	0.0242	0.0063	0.1806	-1.00E-04	0.0097
acetic acid	0.1111	0.1172	0.0807	0.052	-0.0156	0.0493	0.1498	0.1092	0.1032	0.0443	-0.0009	0.0616	0.1129	0.0361	0.1522	0.0444	0.2496	0.1078	0.1105
a-methyl-D-galactoside	-0.0042	0.0232	-0.0412	-0.0244	-0.0702	0.0027	0.0258	0.005	-0.0094	-0.0101	-0.0101	-0.0039	0.069	0.1258	0.0325	-0.0059	0.181	0.0173	0.0148
b-methyl-D-glucoside	-0.0187	0.0208	-0.0373	-0.0211	-0.0772	-0.0002	0.0139	-0.0072	-0.049	0.1017	-0.0179	0.0039	0.0335	0.1218	0.0221	-0.0223	0.1798	0.0193	0.0089
mucic acid	-0.0178	0.0107	-0.061	-0.0505	-0.0816	-0.0084	-0.0163	-0.0328	-0.0614	0.0756	-0.0159	0.0045	0.0117	0.1014	0.003	-0.0403	0.172	0.0156	0.0064
